objectid,acres,wqclass_id,description,class,standard,createdby,agency,publishdate,featureuid,createdate,modifieddate,modifiedby,deliverydate,sourceid,severity,comments,st_areashape,st_perimetershape
1,44526.916,2,Open coastal waters between Hikimoe Valley and Makahoa Point,AA,2, , ,1899/12/30 00:00:00+00,{3557810B-2B3E-42A3-96A7-474330DB697D},,,,2016/09/13 00:00:00+00,,,,180200306.001014,93156.1610600779
2,55071.508,71,Open coastal waters from Makahoa Point to Makahuena Point,A,2, , ,1899/12/30 00:00:00+00,{984CD4B2-A9E7-4B6A-B9D4-A5115DAADDFC},,,,2016/09/13 00:00:00+00,,,,222875518.367629,176430.75998491
3,769.873,1,Hanalei Bay,AA,1, , ,1899/12/30 00:00:00+00,{8458C6F0-FF7B-42A3-B923-A959F45B96BF},,,,2016/09/13 00:00:00+00,,,,3115703.49588177,7112.93804144539
4,40862.172,72,Open coastal waters between the west boundary of Hoai Bay and Hikimoe Valley,A,2, , ,1899/12/30 00:00:00+00,{4356B462-5AE6-4E00-85E7-4853CC7A922D},,,,2016/09/13 00:00:00+00,,,,165366621.815011,127394.122154273
5,113.727,4,Hanamaulu Bay,A,1, , ,1899/12/30 00:00:00+00,{2FEE4176-2E69-4471-96BB-7B333026C943},,,,2016/09/13 00:00:00+00,,,,460256.550134872,3290.59413570191
6,6.827,9,Kikiaola Boat Harbor,A,1, , ,1899/12/30 00:00:00+00,{7AB5009E-ED47-4654-8527-56863B0981F9},,,,2016/09/13 00:00:00+00,,,,27626.4993702944,653.41621814063
7,305.143,5,Nawiliwili Bay,A,1, , ,1899/12/30 00:00:00+00,{77801ADB-77BC-4AEC-B9B5-A3734B5A5EEF},,,,2016/09/13 00:00:00+00,,,,1234921.95217849,11274.0124658549
8,168.24,8,Hanapepe Bay (inside breakwater),A,1, , ,1899/12/30 00:00:00+00,{3D227A9C-C9C9-4FC2-829F-D8FC2E58F393},,,,2016/09/13 00:00:00+00,,,,680859.639093152,4052.0446927114
9,4.334,10,Port Allen Boat Harbor,A,1, , ,1899/12/30 00:00:00+00,{B53E6B26-CB1F-43F2-B5D0-3BF468752A79},,,,2016/09/13 00:00:00+00,,,,17538.5797542926,575.690189138932
10,21.497,7,Wahiawa Bay,A,1, , ,1899/12/30 00:00:00+00,{72520368-F547-45AF-A8AE-5DFCCD042948},,,,2016/09/13 00:00:00+00,,,,86997.6725142713,1531.2217519991
11,23.008,6,Kukuiula Bay,A,1, , ,1899/12/30 00:00:00+00,{DD183944-6B16-4D73-9F30-F6D8F5657E09},,,,2016/09/13 00:00:00+00,,,,93113.3845972807,1654.11864216037
12,2052.675,3,Open coastal waters between Makahuena Point and the westerly boundary of Hoai Bay,AA,2, , ,1899/12/30 00:00:00+00,{FDFEBE74-4345-471D-A505-6757E47196D2},,,,2016/09/13 00:00:00+00,,,,8307203.79190347,14238.4078815868
13,189700.376,73,Open coastal waters all around Oahu farther than 3.5 miles from Kaena Point,A,2, , ,1899/12/30 00:00:00+00,{8ECE5BD5-107B-4D2C-8447-78B0656CBC2D},,,,2016/09/13 00:00:00+00,,,,767683418.2958,460415.088450556
14,26.317,17,Pupukea MLCD,AA,2, , ,1899/12/30 00:00:00+00,{3D0002FA-B23D-4602-A46A-EDF549D0B27A},,,,2016/09/13 00:00:00+00,,,,106502.741063666,2970.61603078984
15,22027.822,16,"Open coastal waters of Kaena Point within 3.5 miles, towards Makua and towards Mokuleia",AA,2, , ,1899/12/30 00:00:00+00,{423F5B84-D3DF-47A1-959D-A661E0F8D567},,,,2016/09/13 00:00:00+00,,,,89142696.2463117,49861.6283100377
16,252.268,15,Waialua Bay from Kaiaka Point to Puaena Point,AA,2, , ,1899/12/30 00:00:00+00,{1CA3927E-2695-4FBF-94CD-C2895439F124},,,,2016/09/13 00:00:00+00,,,,1020889.35486616,5202.63535882067
17,9.432,29,Haleiwa Boat Harbor,A,1, , ,1899/12/30 00:00:00+00,{A4336AB2-0A9B-4DDC-ACF7-6F2DAB4063BB},,,,2016/09/13 00:00:00+00,,,,38168.437882995,1240.48346671286
18,56.154,19,Kaiaka Bay,A,1, , ,1899/12/30 00:00:00+00,{7B15C1B2-90EA-43E5-A6C6-AC462C8C287A},,,,2016/09/13 00:00:00+00,,,,227247.025101904,2034.32400545155
19,208.822,11,Kahana Bay,AA,1, , ,1899/12/30 00:00:00+00,{0744BFDA-DDE1-4882-B17D-DB059F47099C},,,,2016/09/13 00:00:00+00,,,,845069.330582982,4617.69795423708
20,11928.704,12,Kaneohe Bay,AA,1, , ,1899/12/30 00:00:00+00,{60F39835-63FF-47EE-BA21-A3B177D28A8B},,,,2016/09/13 00:00:00+00,,,,48273592.2289157,43808.7017143792
21,18.294,28,Waianae Boat Harbor,A,1, , ,1899/12/30 00:00:00+00,{BE45447C-23E7-4E18-88FA-53FE83201130},,,,2016/09/13 00:00:00+00,,,,74033.1374240383,1115.69896447981
22,98.197,26,Pokai Bay,A,1, , ,1899/12/30 00:00:00+00,{3F560627-A0D2-4D7C-8D25-3DCBEB5C7234},,,,2016/09/13 00:00:00+00,,,,397390.804344589,2901.70920994714
